Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Maturity,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2025/08/19,TN25,ZAG000079344,ZAG000079344 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,53,2023/08/19,19-Aug-25,9.5,R186,135,10.705,101.04676,97.74128,3.30548,11.325,9,0.12,1.929220971,1.831205686,-1.850374042,185.0374042,4.481148828,,Rate,20-Jun-23,15-May-23,,,,Illiquid Methodology,
2026/04/02,ES26,ZAG000038290,ZAG000038290 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,97,2023/10/02,02-Apr-26,7.85,R186,70,10.055,96.58464,94.75656,1.82808,10.675,8.78,0.05,2.489158073,2.370006021,-2.28906195,228.906195,7.147340404,,Rate,20-Jun-23,02-Mar-23,,,,Official Market Maker,
2026/10/01,FRX26,ZAG000112160,ZAG000112160 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,96,2023/10/01,01-Oct-26,9.5,R186,51,9.865,101.20562,98.96726,2.23836,10.57,8.41,0.08,2.8205521,2.687968074,-2.720374647,272.0374647,9.222311868,,Rate,20-Jun-23,14-Jun-23,,,,Illiquid Methodology,
2026/12/21,R186,ZAG000016320,ZAG000016320 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,177,2023/12/21,21-Dec-26,10.5,,,9.355,103.48094,103.3371,0.14384,9.975,7.96,0.07,3.013096778,2.878456954,-2.978654172,297.8654172,10.413302,,Rate,20-Jun-23,19-Jun-23,,,,Benchmark Bond,
2027/11/14,TN27,ZAG000046681,ZAG000046681 Corp,TRANSNET SOC LTD,TRANS - RAIL,Sr Unsecured,140,2023/11/14,14-Nov-27,8.9,R186,254,11.895,91.01168,89.96319,1.04849,12.495,10.395,0.08,3.642663264,3.438177648,-3.129143268,312.9143268,14.89585927,,Rate,20-Jun-23,06-Jun-23,,,,Illiquid Methodology,
2030/01/31,R2 030,ZAG000106998,ZAG000106998 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,34,2023/07/31,31-Jan-30,8,,,10.705,90.64204,87.44204,3.2,11.32,9.465,0.05,4.961769674,4.709683846,-4.268953569,426.8953569,29.00172361,,Rate,20-Jun-23,19-Jun-23,,,,PD Call Down Rates,
2031/02/21,FRX31,ZAG000084195,ZAG000084195 Corp,FIRSTRAND BANK LTD,BANK,Sr Unsecured,55,2023/08/21,21-Feb-31,9.5,R213,6,11.155,94.87981,91.62639,3.25342,11.69,9.97,0.07,5.318518502,5.037549196,-4.779617286,477.9617286,34.40237374,,Rate,20-Jun-23,31-May-23,,,,Illiquid Methodology,
2031/02/28,R213,ZAG000077470,ZAG000077470 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,65,2023/08/31,28-Feb-31,7,,,11.095,81.42059,79.15758,2.26301,11.73,9.9,0.05,5.67628374,5.377942387,-4.378752511,437.8752511,37.76212504,,Rate,20-Jun-23,29-Jul-10,,,,PD Call Down Rates,
2032/03/31,R2 032,ZAG000107004,ZAG000107004 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,95,2023/09/30,31-Mar-32,8.25,,,11.29,85.29212,83.32568,1.96644,11.945,10.145,0.05,6.014182669,5.69282282,-4.855528993,485.5528993,43.76325539,,Rate,20-Jun-23,19-Jun-23,,,,PD Call Down Rates,
2033/09/15,ES33,ZAG000029034,ZAG000029034 Corp,ESKOM HOLDINGS SOC LTD,UTILITY - ELEC,Sr Unsecured,80,2023/09/15,15-Sep-33,7.5,R209,75,12.695,72.78075,70.66431,2.11644,13.24,11.65,0.04,6.503663374,6.115483085,-4.450894102,445.0894102,52.65232193,,Rate,20-Jun-23,02-Mar-23,,,,Official Market Maker,
